id,name,weightClass,wins,losses,draws,height,weight,reach,strikesLandedPerMin,strikingAccuracy,strikesAbsorbedPerMin,strikeDefense,takedownAvgPer15Min,takedownAccuracy,takedownDefense,submissionAvgPer15Min,avgFightTime,KoTkoPercentage,SubmissionPercentage,DecisionPercentage,StrikesByStanding,StrikesByClinching,StrikesByGround,StrikesToHead,StrikesToBody,StrikesToLegs,image
shamil-abdurakhimov,Shamil Abdurakhimov,Heavyweight Division,20,8,0,75,263,76,3.02,44%,101,45,0.14,23%,0.29,55,9:27,45%,20%,35%,67%,24%,9%,59%,19%,22%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/ABDURAKHIMOV_SHAMIL_L_02_07.png?itok=PHRwbOwY
daichi-abe,Daichi Abe,Welterweight Division,6,1,0,69,170.5,71.5,4.49,34%,33,0.33,0,50%,0.33,57,15:00,67%,0%,33%,85%,6%,8%,60%,7%,33%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/8c026dcd-60a4-457e-9cb5-b2c20969cd8f%252FDaichi-Abe_635302_LeftFullBodyImage.png?itok=f6zm9swF
papy-abedi,Papy Abedi,Middleweight Division,9,3,0,71,184.5,74,3.15,55%,347,50,1.3,57%,0,49,8:39,56%,22%,22%,37%,35%,28%,43%,47%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/b234b354-8110-42f1-8dc3-e12c64426cce%252FPapy-Abedi_205746_LeftFullBodyImage.png?itok=XVESHvaD
ricardo-abreu,Ricardo Abreu,Middleweight Division,5,1,0,71,183,73,3.98,32%,213,100,0.71,43%,1.42,68,10:33,60%,40%,0%,73%,16%,11%,81%,13%,6%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69075/profile-galery/fullbodyleft-picture/ricardo-abreu_477654_LeftFullBodyImage.png?VersionId=LJuqnesMlT3hQ25Nq21MoDD7Nwj8n7Nn&itok=sYpcOkmI
klidson-abreu,Klidson Abreu,Light Heavyweight Division,15,4,0,74,206,74,2.9,41%,64,80,0,20%,0,56,11:43,27%,67%,7%,90%,10%,0%,40%,21%,40%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68520/profile-galery/fullbodyleft-picture/ABREU_KLIDSON_L.png?VersionId=BbXEo5JsESM5N88Iv2q7TJdUPAz1J.sR&itok=MdvaR564
john-adajar,John Adajar,Welterweight Division,0,1,0,,170,,6.28,53%,0,0,0,0%,0,44,4:37,0%,0%,0%,94%,6%,0%,61%,28%,11%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-06/7ab235cd-13bf-4085-b532-1a8138a573ff%252FADAJAR_JOHN_L.png?itok=lbIGsqFs
tenk-ebbott,Scott Adams,Heavyweight Division,6,0,0,72,225,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
anthony-adams,Anthony Adams,Middleweight Division,8,2,0,73,184.5,76.5,5.93,42%,0,0,0,0%,0,44,15:00,0%,0%,0%,88%,12%,0%,39%,31%,31%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/ed39dee9-3044-4ad1-a217-4587a85234b6%252FADAMS_ANTHONY_L_CS.png?itok=YsJQaONr
juan-adams,Juan Adams,Heavyweight Division,5,3,0,77,266,80,4.06,56%,91,57,0,67%,0,35,6:36,100%,0%,0%,48%,22%,30%,82%,14%,4%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69687/profile-galery/fullbodyleft-picture/ADAMS_JUAN_L.png?VersionId=a1XiJQRN_l1IA0G0dW5ccZhOzl6Gnxml&itok=v6eIBd8F
zarrukh-adashev,Zarrukh Adashev,Flyweight Division,4,4,0,65,125.5,65,3.04,40%,0,100,0.48,0%,0,65,7:53,50%,0%,50%,93%,5%,2%,66%,14%,20%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/71630%252Fprofile-galery%252Ffullbodyleft-picture%252FADASHEV_ZARRUKH_L_05-08.png?itok=z73fLVWJ
israel-adesanya,Israel Adesanya,Middleweight Division,24,5,0,76,185,80,3.2,48%,5,77,0.14,11%,0.62,56,17:35,67%,0%,33%,92%,5%,3%,49%,21%,30%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/ADESANYA_ISRAEL_L_02-01.png?itok=uHEBSpXh
sam-adkins,Sam Adkins,Light Heavyweight Division,0,0,0,72,205,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
nick-agallar,Nick Agallar,Lightweight Division,12,3,0,67,155,,4.56,12%,0,0,0,0%,0,42,7:14,0%,0%,0%,80%,20%,0%,40%,0%,60%,
mariya-agapova,Mariya Agapova,Women's Flyweight Division,10,5,0,66,125,68.5,3.62,55%,55,45,0.83,67%,0.55,52,7:47,30%,50%,20%,68%,16%,17%,63%,28%,9%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/8d8cdf5b-a8fc-4d06-8658-a1780c10f239%252FAGAPOVA_MARIYA_L_03-05.png?itok=fBYc7s6n
fabio-agu,Fabio Agu,Middleweight Division,0,0,0,,,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
marcello-aguiar,Marcello Aguiar,Welterweight Division,0,0,0,72,200,,0,0%,0,0,0,0%,0,0,0:00,0%,0%,0%,0%,0%,0%,0%,0%,0%,
jessica-aguilar,Jessica Aguilar,Women's Strawweight Division,20,8,0,63,115.3,63,7.19,51%,94,50,0.24,25%,0,54,12:44,15%,35%,50%,62%,31%,8%,54%,28%,18%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Jessica_Aguilar/AGUILAR_JESSICA_L.png?VersionId=u4Bhw7DC8WEfwM7pt2FUHKOw2N_JjbnF&itok=ItyRT9CR
jesus-aguilar,Jesus Aguilar,Flyweight Division,11,3,0,64,125.5,62.5,1.1,46%,183,40,1.83,35%,0.3,59,8:12,9%,64%,27%,67%,11%,22%,69%,13%,18%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/AGUILLAR_JESUS_L.png?itok=j68Lc9Yx
kevin-aguilar,Kevin Aguilar,Featherweight Division,17,5,0,67,145,72,4.81,40%,16,79,0,17%,0.32,52,13:20,53%,12%,35%,87%,8%,5%,61%,34%,5%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/71419%252Fprofile-galery%252Ffullbodyleft-picture%252FAGUILAR_KEVIN_L_05-15.png?itok=_B7XXhl3
christian-aguilera,Christian Aguilera,Welterweight Division,14,8,0,69,170.5,72,4.04,38%,0,60,0,0%,0,49,3:33,73%,0%,27%,100%,0%,0%,59%,11%,30%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/71629%252Fprofile-galery%252Ffullbodyleft-picture%252FAGUILERA_CHRISTIAN_L_05-08.png?itok=GaMeVlD5
nick-aguirre,Nick Aguirre,Bantamweight Division,7,2,0,69,136,74,2.89,34%,116,33,0.58,20%,0,46,12:59,43%,57%,0%,95%,5%,0%,95%,5%,0%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-01/AGUIRRE_NICK_L_01-14.png?itok=15euILkm
ashiek-ajim,Ashiek Ajim,Bantamweight Division,0,1,0,,135.5,,11.25,40%,0,0,0,0%,0,25,0:48,0%,0%,0%,100%,0%,0%,50%,0%,50%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/AJIM_ASHIEK_L.png?itok=fRfeWvps
omari-akhmedov,Omari Akhmedov,Middleweight Division,21,6,1,72,185.5,73,2.84,34%,258,66,0.25,46%,0.17,56,12:01,33%,29%,38%,73%,12%,15%,72%,17%,12%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/68949%252Fprofile-galery%252Ffullbodyleft-picture%252FAKHMEDOV_OMARI_L_07-10.png?itok=IW2Uv0ij
yoshihiro-akiyama,Yoshihiro Akiyama,Welterweight Division,15,6,0,70,170,73.5,3.62,42%,229,93,1,68%,0.4,58,6:50,0%,0%,0%,68%,6%,26%,80%,6%,14%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69542/profile-galery/fullbodyleft-picture/Yoshihiro-Akiyama_1044_LeftFullBodyImage.png?VersionId=RUae1jr6ZXoXCdoQQf6Q611OPR_c96l0&itok=YPlEA-PE
rostam-akman,Rostem Akman,Welterweight Division,0,2,0,70,171,72,3.97,26%,100,88,0,40%,0,58,15:00,83%,17%,0%,78%,22%,0%,70%,22%,7%,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/71542/profile-galery/fullbodyleft-picture/AKMAN_ROSTAM_L.png?VersionId=s0Xyj_DSjzTjrVVAvaeImvkXyz9WVs3Z&itok=eYq0nlKi
mostapha-al-turk,Mostapha Al Turk,Heavyweight Division,6,6,0,74,235,,3.61,19%,0,0,0,0%,0,53,7:34,0%,0%,0%,90%,10%,0%,42%,10%,48%,
razak-al-hassan,Razak Al-Hassan,Light Heavyweight Division,7,2,0,74,205,,3.14,39%,65,57,0,14%,0,60,7:38,0%,0%,0%,91%,9%,0%,37%,28%,35%,
ali-alqaisi,Ali Al-Qaisi,Bantamweight Division,8,5,0,68,136,68,1.97,42%,350,60,1,29%,0,56,15:00,13%,50%,38%,86%,12%,1%,55%,14%,32%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-10/71683%252Fprofile-galery%252Ffullbodyleft-picture%252FALQAISI_ALI_L_08-08.png?itok=vhW4A2xW
abdul-kareem-al-selwady,Abdul-Kareem Al-Selwady,Lightweight Division,15,4,0,68,155,69,3.6,35%,232,20,0,31%,0,59,12:55,53%,13%,33%,95%,5%,0%,56%,16%,28%,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/AL-SELWADY_ABDUL-KAREEM_L_03-02.png?itok=gKYxaZvh
